"mat_code","mat_name","genres","mat_type","anio_prod"
"135954","KNOCK OFF","ACCIÓN","LARGOMETRAJE","1998"
"136008","POLICE ACADEMY 4: CITIZENS ON PATROL","COMEDIA","LARGOMETRAJE","1987"
"136014","MASK OF ZORRO, THE","AVENTURAS - ROMANCE","LARGOMETRAJE","1998"
"136015","MUPPETS FROM SPACE","COMEDIA - FAMILIAR","LARGOMETRAJE","1999"
"136037","BRAK SHOW, THE","ANIMACIÓN - COMEDIA","EPISODE (ANIMATED)","2001 - 2002 - 2003"
"136093","BAD BOYS","ACCIÓN - COMEDIA","LARGOMETRAJE","1995"
"136104","SENSE AND SENSIBILITY","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","1995"
"136113","SLEEPLESS IN SEATTLE","COMEDIA - ROMANCE","LARGOMETRAJE","1993"
"136125","FLYPAPER","COMEDIA - POLICIAL - SUSPENSO","LARGOMETRAJE","2011"
"136137","GROUNDHOG DAY","COMEDIA - FANTASÍA","LARGOMETRAJE","1993"
"136146","SAMURAI JACK: THE LEGEND BEGINS","ACCIÓN - ANIMACIÓN","LARGOMETRAJE","2001"
"136186","TANGO & CASH","ACCIÓN","LARGOMETRAJE","1989"
"136270","KARATE KID","ACCIÓN - FAMILIAR","LARGOMETRAJE","1984"
"136306","LETHAL WEAPON 4","SUSPENSO","LARGOMETRAJE","1998"
"136334","MATRIX, THE","ACCIÓN - CIENCIA FICCIÓN","LARGOMETRAJE","1999"
"136337","WEDDING SINGER, THE","COMEDIA - MÚSICA - ROMANCE","LARGOMETRAJE","1998"
"136338","AUSTIN POWERS:THE SPY WHO SHAGGED ME","ACCIÓN - COMEDIA","LARGOMETRAJE","1999"
"136388","ANALYZE THIS","COMEDIA - POLICIAL","LARGOMETRAJE","1999"
"136390","WILD WILD WEST","ACCIÓN - AVENTURAS - COMEDIA - WESTERN","LARGOMETRAJE","1999"
"136508","INSPECTOR GADGET","ACCIÓN - AVENTURAS - COMEDIA","LARGOMETRAJE","1999"
"136609","CABLE GUY, THE","COMEDIA - TERROR","LARGOMETRAJE","1996"
"136612","DRACULA: DEAD & LOVING IT","COMEDIA - TERROR","LARGOMETRAJE","1995"
"136616","GATTACA","CIENCIA FICCIÓN - DRAMA","LARGOMETRAJE","1997"
"136622","GHOSTBUSTERS I","CIENCIA FICCIÓN - COMEDIA - FANTASÍA","LARGOMETRAJE","1984"
"136630","MULTIPLICITY","COMEDIA","LARGOMETRAJE","1996"
"136680","MICKEY BLUE EYES","COMEDIA - POLICIAL","LARGOMETRAJE","1999"
"136744","JACK FROST","COMEDIA - DRAMA","LARGOMETRAJE","1998"
"136753","MY BEST FRIEND'S WEDDING","COMEDIA - ROMANCE","LARGOMETRAJE","1997"
"136791","THREE KINGS","ACCIÓN - AVENTURAS - BÉLICA","LARGOMETRAJE","1999"
"136812","KINDERGARTEN COP","ACCIÓN - COMEDIA","LARGOMETRAJE","1990"
"136932","BIG DADDY","COMEDIA","LARGOMETRAJE","1999"
"137008","MY DOG SKIP","DRAMA - FAMILIAR","LARGOMETRAJE","2000"
"137017","WHILE YOU WERE SLEEPING","COMEDIA - ROMANCE","LARGOMETRAJE","1995"
"137019","BEST IN SHOW","COMEDIA","LARGOMETRAJE","2000"
"137062","COYOTE UGLY","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2000"
"137064","STUART LITTLE","AVENTURAS - COMEDIA - FAMILIAR","LARGOMETRAJE","1999"
"137065","BLUE STREAK","ACCIÓN - COMEDIA","LARGOMETRAJE","1999"
"137075","REALITY BITES","COMEDIA - DRAMA","LARGOMETRAJE","1994"
"137086","RUSH HOUR","ACCIÓN - COMEDIA - TERROR","LARGOMETRAJE","1998"
"137103","BLAST FROM THE PAST","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","1999"
"137158","HANGING UP","COMEDIA - DRAMA","LARGOMETRAJE","2000"
"137189","UNBREAKABLE","SUSPENSO","LARGOMETRAJE","2000"
"137215","DISNEY'S THE KID","COMEDIA - DRAMA","LARGOMETRAJE","2000"
"137216","HIGH FIDELITY","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2000"
"137236","DOUBLE TAKE","ACCIÓN - COMEDIA","LARGOMETRAJE","2001"
"137245","REMEMBER THE TITANS","DEPORTE - DRAMA","LARGOMETRAJE","2000"
"137248","SWEETEST THING, THE","COMEDIA - ROMANCE","LARGOMETRAJE","2002"
"137254","28 DAYS","DRAMA","LARGOMETRAJE","2000"
"137262","PEARL HARBOR","ACCIÓN - DRAMA - ROMANCE","LARGOMETRAJE","2001"
"137266","MR.DEEDS","COMEDIA - ROMANCE","LARGOMETRAJE","2002"
"137275","MISS CONGENIALITY","ACCIÓN - COMEDIA","LARGOMETRAJE","2000"
"137318","CATS & DOGS","COMEDIA - FAMILIAR","LARGOMETRAJE","2001"
